listing_id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,last_review,reviews_per_month,calculated_host_listings_count,availability_365
595335,"Central dble, kitchen, free parking",2042761,Tom,Hillside and Calton Hill,55.9610272,-3.1745,Private room,27,2,10/11/2018,1.63,2,283
603443,2 Bedroom 1 Bathroom Apartment on the Royal Mile,2711564,Harvey,"Old Town, Princes Street and Leith Street",55.95084897,-3.187753558,Entire home/apt,435,2,17/03/2018,0.22,15,362
603446,"2 Bedroom 1 Bath Apartment,Blair Street Royal Mile",2711564,Harvey,"Old Town, Princes Street and Leith Street",55.9504712,-3.187589984,Entire home/apt,315,3,04/08/2017,0.08,15,360
603493,"1 Bedroom 1 Bathroom - Upper Bow, Royal Mile",2711564,Harvey,"Old Town, Princes Street and Leith Street",55.94923507,-3.188280731,Entire home/apt,200,3,16/08/2017,0.04,15,362
603497,"1 Bedroom 1 Bathroom Apt Tron Square, Royal Mile",2711564,Harvey,"Old Town, Princes Street and Leith Street",55.94956792,-3.18986122,Entire home/apt,229,3,28/12/2017,0.13,15,347
603498,Luxurious 1 Bedroom Apartment on the Royal Mile,2711564,Harvey,"Old Town, Princes Street and Leith Street",55.95085316,-3.189435375,Entire home/apt,229,3,25/08/2012,0.01,15,362
603501,"1 BR Luxury on Blair Street, Royal Mile,",2711564,Harvey,"Old Town, Princes Street and Leith Street",55.95030235,-3.188292082,Entire home/apt,190,7,07/04/2015,0.05,15,362
603502,1 Bedroom 1 Bathroom Apt on the Royal Mile,2711564,Harvey,"Old Town, Princes Street and Leith Street",55.95096623,-3.189284437,Entire home/apt,229,3,,,15,360
603671,4 Bedroom 3 Bath Royal Mile Apart for 10 guests!,2711564,Harvey,"Old Town, Princes Street and Leith Street",55.94918165,-3.188302989,Entire home/apt,515,3,02/07/2018,0.18,15,355
603672,"4 Bedroom 3 Bathroom Apt, Royal Mile for 12 guests",2711564,Harvey,"Old Town, Princes Street and Leith Street",55.94946817,-3.189137296,Entire home/apt,599,3,06/10/2018,0.31,15,359
603674,"4 bedroom 4 Bathroom apt, Royal Mile for 20 guests",2711564,Harvey,"Old Town, Princes Street and Leith Street",55.9505368,-3.188784338,Entire home/apt,880,3,22/10/2018,0.29,15,355
603726,3 Bed 2 Bathroom Apartment -sleeps 6 on Royal Mile,2711564,Harvey,"Old Town, Princes Street and Leith Street",55.949611,-3.189276481,Entire home/apt,245,2,29/08/2017,0.09,15,362
603996,Two Bedroom Serviced Apartment (up to 4 persons),2989965,OceanApartments,Western Harbour and Leith Docks,55.98577362,-3.187397505,Entire home/apt,200,2,18/11/2018,0.82,4,340
604418,Spacious Double Room in Central Edinburgh,2916432,Claire,Broughton South,55.96284961,-3.181774148,Private room,35,3,22/09/2018,0.48,2,15
605856,Hopetoun City Apartment -  FREE PARKING AND WIFI,2702833,Elaine And Amanda,Broughton South,55.96124657,-3.18540564,Entire home/apt,150,2,04/11/2018,1.76,1,321
607248,"VINTAGE apt,pvt GARDEN,wifiNEW TOWN",3008499,Rebecca,Broughton North and Powderhall,55.96363728,-3.192601085,Entire home/apt,99,1,11/11/2018,4.28,16,291
609201,BRIGHT SUNNY SINGLE ROOM IN  HOUSE,2969139,Connie,Currie East,55.89882632,-3.304176654,Private room,25,1,03/12/2017,0.07,1,322
610600,Spacious bright  Abercromby Place,3027404,Tracy,New Town East and Gayfield,55.95703457,-3.192647236,Entire home/apt,160,2,18/11/2018,0.49,1,333
